etapa,observaciones,Accuracy,Precision,Recall,F1,AUC,KS
Validación cruzada estratificada,623,,,,,0.8715571417664083,
Validación externa,134,0.8656716417910447,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.9169793621013135,0.7818949343339587
Test interno final,134,0.7611940298507462,0.6938775510204082,0.6666666666666666,0.68,0.8169147176943066,0.5627214741318214
